0,rmse,NAVAILI,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
1,0.9055210507859779,21.600170869566412,0.002892398331312493,0.0008030704913519709,34.65855092357175,0.6331631953149044,0.7537081216975224,0.6842111986976842,0.5076024447649886,57.41670373902677,0.6053481763819902,0.3546137072309394,0.30933061094528286,0.6292352216613226,63.58967012756008,0.030273592883118948,0.06902956840856969,0.004873620126652914
2,0.7798930948431306,28.295083387104846,0.0027531992566956877,0.001085184720958724,39.608223798667005,0.5736146568098932,0.7436959518904475,0.8147281255749412,0.681809012591764,50.7920431594864,0.9320917900916363,0.48219076584769627,0.48668081205328595,0.6234913083756278,57.126206754010624,0.0885269391430709,0.054200216867765987,0.005907483857967577
3,1.0808662973276677,26.38892808231082,0.0037252022845358085,0.000637770345285426,32.880033926161204,0.49414811159594274,0.5389867372704059,0.6367303068866685,0.5669920850652422,79.62798894937994,0.5328344490754436,0.47055475231596156,0.7705470410824093,0.5417827979414892,39.88661684491718,0.012103076751528486,0.08368530918835267,0.004310437624691932
4,1.1713735637757787,23.954283770921947,0.0026276514818539673,0.0005935398394541708,24.831047886526683,0.672019911187764,0.6887944643524622,0.6335857025962859,0.7070010096756556,58.52391517213613,0.8124402617092203,0.354797790375611,0.6242277212619023,1.4829507433510658,67.71121863842211,0.0624464582101349,0.028222250455528654,0.004610574291590869
5,1.199983665438549,22.125638224508595,0.0030193192628822497,0.0007559718482739609,17.855144935965896,0.5573030443910924,1.120491487241999,0.7043413564956154,0.7337159235171329,76.77646659128763,0.7618201175312906,0.5060076372088183,0.8748367735222868,1.0078336438354918,44.08716257954485,0.01482357062753608,0.06264853259241822,0.0047176523285532325
6,1.0086851076962813,22.605633396007857,0.0027622443956477113,0.0009219066409338072,31.685068414224805,0.6063189403442469,0.5953339826952275,0.7204291743477597,0.6253059265350389,34.43771959932916,0.7729726022195167,0.6738815754747989,0.6924201541354545,1.2645746484855522,87.6990695721719,0.03548712376214759,0.038004340446349774,0.005293479575371354
7,0.9682716749266076,25.192849860516464,0.0025887312975226423,0.0014454869464970094,25.382463476630214,0.387388697604394,0.8335311522992126,0.7364940276103933,0.6606256522448256,62.06628596210767,0.7619807642990735,0.36916188059077293,0.3104668181973046,0.6441077464072864,63.32440432097506,0.05720181956683676,0.055571829994838985,0.003386225193998576
8,1.068849413257504,20.56201395742951,0.0034244642359687804,0.0007680988461767256,24.742773185927412,0.3214538725461512,1.169043288225808,0.8825554716249925,0.6041799877760357,33.68061054108441,0.642151749442156,0.5388862096653347,0.3775116815382967,1.1338152154534529,69.53938526386966,0.07383874357092933,0.052537760818812326,0.0025580895983889993
9,1.1484144686717177,25.32103820694772,0.0016926440960184697,0.000775446074596462,41.71861118736401,0.30577397857704247,0.9007327690626739,0.7136191506336802,0.4668733197015457,63.54987145179655,0.8171651976923411,0.33537300960668986,0.3689643242677757,0.6550336692602632,65.10078732416326,0.013964543383756255,0.08542641949358276,0.003554234170532647
10,0.9851523569276017,24.156059869336257,0.003806546110830962,0.001258449608158429,38.729519646428145,0.3400992897678474,0.5163684105820432,0.8725564767237922,0.7442751434806412,36.36229246358203,0.4996552197344646,0.6769132716793788,0.6040257524366501,0.7412608204966752,42.57561840366254,0.049039860791912006,0.08146212544967346,0.0026144687823703022
