0,rmse,NAVAILI,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
4259,0.098602094,52.12431087,0.00279607,0.001441221,38.10544893,0.492354078,1.117410305,0.888562444,0.562589375,30.8927154,0.362640216,0.514788522,0.749990369,0.549775713,39.14337504,0.010044664,0.010146917,0.005374692
4928,0.098898246,54.07187607,0.002781955,0.001466595,38.47072062,0.538307949,1.125334084,0.906243667,0.54728359,33.91445884,0.329044681,0.516830541,0.820635169,0.609842552,37.30283614,0.019098505,0.010004368,0.005179825
4194,0.099065043,50.04553862,0.002900663,0.001469665,37.48630965,0.514091939,1.115861371,0.906478791,0.582376151,27.08957125,0.340492437,0.485484003,0.797866079,0.549997784,37.60762221,0.01616866,0.011544642,0.005822269
4180,0.099262798,50.16109359,0.003000404,0.001451861,37.52101778,0.509055538,1.1228072,0.905870667,0.574447962,30.51351725,0.329567083,0.465845578,0.792113209,0.551538267,37.47350243,0.015645099,0.010041091,0.005813134
1250,0.101385872,57.91940683,0.003309919,0.000849978,50.43038949,0.305262475,1.168006423,0.882019314,0.542503116,32.80371714,0.329274873,0.722896113,0.783991824,0.637836145,47.56421684,0.0141561,0.011540449,0.00710978
4958,0.101418933,53.38918008,0.002747733,0.001465802,38.27157554,0.526612112,1.121755672,0.905865044,0.55804694,33.01778872,0.329071805,0.546534294,0.821703035,0.605862796,37.43680162,0.018648693,0.010053178,0.005050324
4155,0.101992547,51.46663829,0.002848561,0.001481826,37.43724432,0.499968807,1.11676814,0.894448136,0.588191553,29.71873685,0.349070723,0.485057519,0.788351161,0.573219468,36.58057931,0.01373398,0.010098835,0.005702074
4217,0.102074325,51.39870779,0.002996174,0.001477331,37.64892628,0.494942238,1.121096109,0.905917768,0.564120412,30.282878,0.349724482,0.465908079,0.784175308,0.572487034,36.23690773,0.012750676,0.010078334,0.005408171
4633,0.102371371,51.9429131,0.002802153,0.00147012,39.50606752,0.522547912,1.13543634,0.891162426,0.566827313,28.75033712,0.340188926,0.459111413,0.81596107,0.58429179,36.91087606,0.014490573,0.010043891,0.005898849
2739,0.103522985,55.86393754,0.002440797,0.001481386,39.50568512,0.620623659,1.153142456,0.823448925,0.567845402,39.70778953,0.330153608,0.363998343,0.870518306,0.596375568,37.11387399,0.014209955,0.010062036,0.006145475
4224,0.103687875,51.35460687,0.002948377,0.001499797,37.75613271,0.475842888,1.105237298,0.887792671,0.570408816,29.54343773,0.363968885,0.503547699,0.78211745,0.561170262,35.10906121,0.010115062,0.010023883,0.005425215
3644,0.103770456,54.41894523,0.002235001,0.001461437,41.20079182,0.59034273,1.184750252,0.813558077,0.53834925,45.86101021,0.340945491,0.443767728,0.876637938,0.604429717,44.94891209,0.010014318,0.010034008,0.006666512
4636,0.103854492,51.60582512,0.002789392,0.001480597,38.19789401,0.507888178,1.138065951,0.885889717,0.55980451,28.08275605,0.350118439,0.468182065,0.801969996,0.572756437,37.28634593,0.015071774,0.010002181,0.005733266
