0,rmse,NAVAILI,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
4472,0.06545676,21.83489875,0.002000602,0.000965334,46.0109867,0.674591559,1.187630412,0.855867681,0.774643306,67.46571625,0.329223097,0.749285435,0.339514619,0.606452283,49.54401978,0.011704485,0.011322214,0.004484529
4465,0.065484947,21.82681297,0.00199391,0.000984925,43.86000933,0.64186144,1.187767813,0.854105997,0.768993789,67.39992716,0.329156391,0.741369328,0.353004855,0.627281991,53.34890943,0.010028437,0.010063992,0.004808648
3727,0.069258437,21.47853244,0.001889243,0.001089636,46.20402862,0.65502389,1.168506179,0.839545054,0.761187738,67.43053446,0.380532418,0.738910815,0.335802939,0.631174207,52.62089613,0.016616068,0.01002417,0.007801145
3665,0.069472239,22.08716476,0.001839837,0.001123877,44.27502182,0.673755597,1.199493475,0.872414208,0.733424743,69.29172167,0.400411226,0.749681572,0.339926431,0.61373553,50.07464287,0.017360316,0.010061468,0.007999166
3848,0.070944205,21.14463623,0.001951171,0.001048806,45.63229813,0.674561461,1.170757493,0.838741791,0.774862697,66.86245081,0.36405999,0.733184419,0.300313539,0.643027663,52.39238782,0.013271605,0.010032405,0.007999327
4512,0.071259078,21.89431513,0.002128531,0.000964006,49.1036953,0.65076012,1.177612217,0.843474474,0.774659635,70.52385937,0.331325074,0.741020719,0.356925806,0.503548791,44.80022571,0.011501739,0.016920258,0.004196687
3684,0.072800633,21.17431163,0.001848081,0.001083686,45.73518788,0.674402402,1.17350587,0.84436541,0.754566827,65.27123707,0.383545052,0.749931179,0.321817499,0.633574561,52.01743417,0.013896933,0.010014918,0.007999797
4689,0.072808252,22.42600276,0.002134587,0.00094465,45.22297732,0.637511017,1.199720909,0.854645148,0.754100366,68.22415726,0.342228634,0.749504746,0.362530273,0.564557805,43.431366,0.010148993,0.013117555,0.003930892
4668,0.073818951,22.17956956,0.002143591,0.000950985,47.60241857,0.658773668,1.174601266,0.846582043,0.774930948,67.05439738,0.340646793,0.74948564,0.342409411,0.559337598,44.22179007,0.010124656,0.013088998,0.00446745
3676,0.075460177,21.50089298,0.001831633,0.001117519,44.81923086,0.674251196,1.198955039,0.848729697,0.749305093,66.17819534,0.402940928,0.732871298,0.31783189,0.634880372,51.76845962,0.014609937,0.010000663,0.007894328
