0,rmse,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
4675,0.04104763,0.003024608,0.001498777,45.42983458,0.49261306,1.082109889,0.899196705,0.472140874,48.76447544,0.329958227,0.653767669,0.436087822,0.754960423,39.39005322,0.02427721,0.010072356,0.003224983
3738,0.044575589,0.00282236,0.001479354,41.6784085,0.49391722,1.122833404,0.883769982,0.50272602,46.50354378,0.329091488,0.68058365,0.464265154,0.768574801,37.64893972,0.01460284,0.010020089,0.003642458
4648,0.045415432,0.003030785,0.001499758,45.55576014,0.487615154,1.075271918,0.886847528,0.465061945,49.12916017,0.329134929,0.660382746,0.429442673,0.73686654,41.16915635,0.024817661,0.010026967,0.003391323
4718,0.046868512,0.003013126,0.001496754,45.32142777,0.498024593,1.072834968,0.899050757,0.465140261,48.84075948,0.329675007,0.685683022,0.420805341,0.742407698,40.12008589,0.022900013,0.01015673,0.003252483
4617,0.046926061,0.002949721,0.00149963,45.640506,0.495640701,1.090555105,0.898850322,0.48011617,48.63996159,0.329092404,0.644843238,0.463836462,0.778074811,37.60791207,0.023106651,0.010048164,0.003200816
4753,0.048595274,0.003014081,0.001482077,45.12902756,0.461161035,1.078466703,0.894639194,0.46567186,51.47683873,0.339903375,0.700098141,0.437947442,0.748046866,39.91916705,0.024234495,0.010003949,0.003372199
4547,0.050690732,0.002863801,0.001428398,45.4959748,0.504449229,1.094114475,0.893766428,0.465549875,48.48814291,0.340576829,0.674977897,0.476758915,0.754174628,39.10074237,0.023225921,0.010019922,0.003679423
3607,0.051312137,0.002813087,0.00143985,41.7340422,0.523511408,1.128380709,0.888470543,0.500408848,45.67331021,0.329701963,0.654087321,0.521342584,0.747811381,36.12069466,0.014684725,0.010013188,0.003273099
4519,0.051936783,0.00285606,0.001431434,43.96679516,0.516296293,1.085822793,0.906040781,0.465210546,47.30255578,0.350471723,0.695653193,0.500486473,0.760271062,37.596043,0.02466896,0.01004362,0.003321095
3355,0.053804849,0.002907237,0.001480705,39.22258023,0.510971367,1.113160505,0.90648222,0.471387352,46.87075014,0.341405782,0.65632842,0.471557359,0.771403217,35.07125437,0.011613026,0.010074224,0.003463555
4511,0.054381799,0.002798025,0.001415335,44.26859486,0.535115659,1.104543549,0.906171708,0.479726178,47.75613937,0.363545566,0.63282122,0.501832466,0.75238989,35.03141625,0.021471565,0.010038918,0.003523495
3883,0.055199797,0.002781591,0.001499704,40.51316776,0.535094935,1.140964443,0.899330554,0.471221879,45.91605477,0.340932919,0.610643786,0.471705687,0.747156764,35.05224571,0.011260859,0.011675107,0.003283187
4634,0.05554387,0.002903925,0.001455432,45.92853467,0.508647328,1.089222499,0.893817662,0.465559991,47.99484751,0.339628523,0.654385286,0.468604692,0.763512639,38.70833486,0.022977329,0.010083463,0.003194901
3488,0.055919684,0.002969501,0.001416981,41.47684075,0.515496707,1.109743354,0.886122536,0.480231651,46.93331919,0.329168203,0.664878082,0.464568686,0.764778029,36.76930885,0.021193987,0.01002084,0.003468802
4578,0.05740279,0.002867563,0.00149925,46.00003995,0.5376341,1.055489608,0.892549332,0.465635484,47.56467284,0.340199905,0.655154674,0.490262537,0.743409463,37.95103716,0.024616985,0.010013694,0.003551954
