day,doy,LAI,TAGP,SM,SM_G,LAI_G,TAGP_OBS,LAI_OBS
2021-06-12,0,0.060107222668558793,40.525541916,0.2300096349446584,0.1988413083806984,0.062254346594625705,,
2021-06-13,1,0.060107222668558793,40.525541916,0.22380463742004278,0.2275937716849455,0.06096362809496313,,
2021-06-14,2,0.060107222668558793,40.525541916,0.21872071437528895,0.21379012328150865,0.06446345036490013,,
2021-06-15,3,0.060107222668558793,40.525541916,0.3828664288762814,0.37583151246595325,0.06351849760613215,,
2021-06-16,4,0.060107222668558793,40.525541916,0.335,0.3411686041375791,0.05832641690353508,,
2021-06-17,5,0.060107222668558793,40.525541916,0.44000000000000006,0.45338513359844507,0.05976894499192605,,
2021-06-18,6,0.060107222668558793,40.525541916,0.399,0.39573337210593784,0.07070663404162299,,
2021-06-19,7,0.060107222668558793,40.525541916,0.335,0.3183772069176261,0.06344377645015178,,
2021-06-20,8,0.060107222668558793,40.525541916,0.3213040688192964,0.33213743916844696,0.06395786306176651,,
2021-06-21,9,0.060107222668558793,40.525541916,0.30743593052097123,0.2954139893832343,0.06665592768407744,,
2021-06-22,10,0.07362913808359291,49.64229903116802,0.29515904657833014,0.29711587990046684,0.06518008515101378,,
2021-06-23,11,0.09000979944536955,60.908218319530306,0.2878470899934705,0.29331971756534625,0.08881670523188427,,
2021-06-24,12,0.10194956600742401,69.28339426985448,0.2868134012718968,0.2864057632542941,0.12078965965695497,,
2021-06-25,13,0.11515062813322152,78.73088951385812,0.28628569682803906,0.2835273200085227,0.13340325989196958,,
2021-06-26,14,0.13105315081277935,90.33704521564404,0.307372067622591,0.2926688512167174,0.13343866252703346,,
2021-06-27,15,0.1475784471190423,102.63255820577245,0.29664590646329625,0.2876553306860959,0.16354034727070252,,
2021-06-28,16,0.17486638848443026,123.33097529203823,0.29389370795789604,0.29683491756165453,0.19016038584356917,,
2021-06-29,17,0.20781133305859628,148.86212211654913,0.2913777407207535,0.3075766082991137,0.2098922501129778,,
2021-06-30,18,0.24146259274438514,175.50201742843296,0.28943488916596416,0.30234591131733507,0.2950301354223611,,
2021-07-01,19,0.28336688830625023,209.4491023669874,0.2869155625612471,0.28915484489069104,0.3121879086891155,,
2021-07-02,20,0.32344561250456727,242.6875483980723,0.28972054070461467,0.2654767862468004,0.370321708533663,,
2021-07-03,21,0.36007568122117417,273.70301269167953,0.3762642894087024,0.4174623820180051,0.44126245863111424,,
2021-07-04,22,0.41424496452672127,320.4531844265937,0.3344900388596852,0.31099302805229345,0.5121406549789588,,
2021-07-05,23,0.4794460550181329,377.81744428509126,0.32848417622640264,0.3396561600151515,0.540299368812981,,
2021-07-06,24,0.5510485978784139,442.16321627263756,0.3236400275720904,0.3091962305746281,0.6128812090050676,,
2021-07-07,25,0.6256949619134208,510.75601910823934,0.3196020709402463,0.3402030072652107,0.715395431423248,,
2021-07-08,26,0.7235071859851043,602.7916090276882,0.31447113510573327,0.304278371066968,0.8727112570003984,,0.182052
2021-07-09,27,0.8270399721029003,702.5520420248438,0.3099413866183234,0.29259706884675124,0.9216660266872917,,
2021-07-10,28,0.9382188364212652,812.3887814676737,0.3056478183071717,0.29911081401619083,0.9006511298231327,,
2021-07-11,29,1.0078149400826557,882.9506433302809,0.30529876498532205,0.2742619544623629,1.136371805112666,,
2021-07-12,30,1.133034222839876,1013.171803734783,0.3003624829424742,0.28687880229347923,1.0920156894559334,,
2021-07-13,31,1.2662513406301297,1156.4106287994218,0.29663660317201634,0.28586141033471235,1.4271133785899057,,
2021-07-14,32,1.4074739363005444,1314.1981835333725,0.29233586958407787,0.27336075401527227,1.8309338205134533,,
2021-07-15,33,1.5471684889674064,1476.746765777013,0.2887298641028798,0.28421673981494194,1.6093708423244404,,
2021-07-16,34,1.6288246943733393,1575.7890054304821,0.2871093621451491,0.29750940492544065,1.6938762663846774,,
2021-07-17,35,1.7354122578030478,1710.5070639669314,0.28621078600979305,0.2565780866708297,1.927415535623498,,
2021-07-18,36,1.8802771078581102,1901.3420644430698,0.2822680968691184,0.3099739553238287,2.2307353865870545,,1.4283
2021-07-19,37,2.023146238466821,2098.072969750068,0.2803726194727775,0.2575133332083382,2.120612692298948,,
2021-07-20,38,2.146302834798023,2274.989725968984,0.28865477534655487,0.26291951776728617,2.468595048419009,,
2021-07-21,39,2.2331935821856,2405.2638854199727,0.28601361667279274,0.3021550882341158,2.2389088055251665,,
2021-07-22,40,2.329214350683227,2555.5215776579807,0.2846502581421477,0.27389994020520436,2.334586605014961,,
2021-07-23,41,2.410152878709466,2687.759653896786,0.2834485094232077,0.2739522906560394,2.7829371462476704,,
2021-07-24,42,2.4863602839314236,2818.1959630576875,0.2859801524524647,0.2628386387247106,2.7908194131929838,,
2021-07-25,43,2.579660383368952,2985.2385100125575,0.28336399859033284,0.2863916767572961,2.891952991463348,,
2021-07-26,44,2.7024682136271405,3215.511777819329,0.28086808945292424,0.272743574499011,2.816062619634125,,
2021-07-27,45,2.768338778309883,3345.461612342354,0.28198154919265017,0.26453508840644674,2.8222077031468484,,
2021-07-28,46,2.832973903871741,3479.576722201939,0.27989938056790986,0.2644888005789635,3.132822719513746,,
2021-07-29,47,2.9146320983366705,3657.7309444228176,0.2784331952436025,0.3059610439650403,3.3154830092866154,3912.0,3.047
2021-07-30,48,3.029232747281468,3921.467636246499,0.27533724600815884,0.28361188733214904,3.3510589661488672,,
2021-07-31,49,3.1403780736003437,4192.394232404331,0.27187124709535365,0.28919152213328697,3.2151811944207007,,
