day,doy,LAI,TAGP,TAGP1,TAGP_obs,LAI_nor,LAI_obs,
2021/9/20,101,2.978414472,13296.13585,,10959,0.486165455,2.872,2.872
2021/9/21,102,2.937006109,13653.69212,,,,,
2021/9/22,103,2.883631577,13986.47854,,,,,
2021/9/23,104,2.820399618,14242.78704,,,,,
2021/9/24,105,2.749532742,14485.53535,,,,,
2021/9/25,106,2.67229671,14603.33023,,,,,
2021/9/26,107,2.590080816,14709.94881,,,,,
2021/9/27,108,2.50417715,14886.06025,18928.8,13975,,1.8,2.2
2021/9/28,109,2.416025506,14973.12286,,,,,
2021/9/29,110,2.326853054,15127.27091,,,,,
2021/9/30,111,2.236896456,15243.54325,,,,,
2021/10/1,112,2.146908856,15344.94365,,,,,
