,0
0,rmse
1,SLATB001
2,SPAN
3,EFFTB003
4,TMNFTB003
5,CVO
6,FLTB003
7,TDWI
8,CVL
9,TEFFMX
40,"[1.930448060432112, 0.002001306247400591, 33.31375444122269, 0.2036979701508087, 1.1224316929437883, 0.792581307872016, 0.7706299689609948, 68.89633638274123, 1.008673914432759, 21.618039168078614]"
41,"[3.167983381400236, 0.0025316855841375626, 42.46316523355835, 0.3484747864726696, 0.4059744769340162, 0.6026578938597786, 0.7139070113076181, 74.25062856723363, 0.8255472996142029, 26.21263821080566]"
42,"[3.5054480444864744, 0.0005053103017239036, 40.33855129036056, 0.3174463377349357, 0.8958868497671302, 0.6954778395440488, 0.7482718249372304, 52.896063445153196, 0.8902869636199205, 23.024728592751543]"
43,"[2.745971638156105, 0.0033937847219386, 49.149697487279994, 0.2552113406399564, 1.3081911837840305, 0.7744490709421191, 0.7732903246183409, 60.6819176463366, 0.986316423469439, 19.87531747668962]"
44,"[1.0814508270731236, 0.0021603825938316767, 35.07114013248743, 0.4722892800926724, 1.001137773457631, 0.8574350393421962, 0.6502750490312623, 67.10362619668479, 0.7077377558699282, 44.957903944097836]"
45,"[3.2120330357926234, 0.0008795951737812292, 34.705685824325, 0.4902039207857762, 1.1248340865188693, 0.8602627398065091, 0.5493059381207058, 66.96530259709598, 0.7193882478475057, 44.992786017056766]"
46,"[3.3684548577591586, 0.0018204199698153341, 28.652640454980073, 0.6135762941454843, 0.48170803158773023, 0.6285925921537707, 0.5666204219801476, 70.74285895427725, 0.6157659921250698, 44.95567421984101]"
47,"[3.3222072693562237, 0.0012621820817617902, 31.856929941810932, 0.4729625269306145, 0.7840507422345122, 0.5650081304897987, 0.6409712413360616, 39.48935845985153, 0.8565220728437247, 32.592496063236695]"
48,"[0.5842662879730349, 0.002076481229036196, 35.72166803452799, 0.5608266423361465, 1.2364574634780419, 0.7183508349969219, 0.6004985468791025, 26.340209763654414, 0.7015079271992911, 36.81879148156896]"
49,"[1.665080375770966, 0.002652120637257869, 44.33621285831424, 0.6366145882868735, 1.4095459115707265, 0.6702639604519, 0.6144824760020889, 25.25476600675894, 0.38217561486271434, 37.203469930219306]"
50,"[2.006402935751089, 0.0031756390925843066, 30.62746615384338, 0.5673807584448849, 1.2369299014932034, 0.5534060603299211, 0.5512777424414503, 34.6381373110845, 0.43640767856625107, 40.28112340155448]"
51,"[4.430759892019595, 0.003794691842331701, 38.72527210754571, 0.5365538934218137, 1.4939940191088068, 0.7095037327637637, 0.5819455807106273, 27.8095509974753, 0.5736413719822111, 35.119139449592645]"
52,"[1.9549485739296768, 0.0019698376754011854, 27.32495912293233, 0.4249453082055922, 1.3718683422391142, 0.7698362332268507, 0.5231193121206917, 32.20400380394209, 0.6449119986313298, 31.15808437249644]"
53,"[1.9821708909876428, 0.001753075455025898, 35.486861907756364, 0.6897679259515656, 1.4473206631511615, 0.33786326096106467, 0.5948700692285751, 44.41317952771569, 0.9050763241131722, 28.54715876702417]"
54,"[1.4875574528692976, 0.004156595033029098, 38.10698814703401, 0.18350843825585103, 1.2710576586615048, 0.5854616974758019, 0.6234120152420275, 25.89845665282503, 0.7890832438042179, 36.30987425851572]"
55,"[2.1561839411989925, 0.0024185189288955977, 24.791637040733228, 0.6595221998379911, 1.1477288545835058, 0.5292439238782429, 0.568824973660639, 31.591776139514135, 0.8339943607753739, 39.91122482000489]"
56,"[0.6551614974750827, 0.002769864387673047, 48.065822069787444, 0.22180735663499804, 1.1970720769884413, 0.6428198109152188, 0.6084109220872955, 54.704081735253574, 0.7572505238470673, 32.59297950540445]"
57,"[1.699812569579584, 0.0034769523934250644, 47.83585612492336, 0.5444689834611105, 0.8906896229707824, 0.6417821580218849, 0.6056764698722192, 49.74787810887804, 0.598440867803146, 33.247007485062795]"
58,"[2.8214690883008555, 0.0031880321209233845, 43.251125761251735, 0.6028792872148099, 1.170293275100383, 0.4146116028504085, 0.5311708876065478, 41.55147185401121, 0.6865682298541527, 41.481779554235764]"
59,"[0.9332448427534489, 0.0027879122825904593, 47.69532582134478, 0.17863382479126594, 1.2089229756465865, 0.5155121640979994, 0.6545771239819391, 54.76595019482644, 0.7572033047675846, 38.82022607895642]"
60,"[0.4167010226794741, 0.0037479206027457796, 50.1293989073948, 0.21360194807371913, 1.105946203217066, 0.688964995810079, 0.6321810810718229, 47.589811737940366, 0.5547776904657362, 31.963884306018784]"
61,"[2.862734578225936, 0.0036548898878929798, 12.525058251668714, 0.4420731453656912, 1.0210093897674977, 0.6859507932265838, 0.6322039769623083, 37.15965857294582, 0.49514659156604995, 30.990554583167285]"
62,"[3.020867490484331, 0.004184069819869794, 50.48519360086941, 0.5938300747774344, 0.9525222419536805, 0.7504971149229619, 0.5812042403641532, 47.509997943324585, 0.5347746942423343, 35.35385303719529]"
63,"[2.386274736411428, 0.003885939489362291, 46.05301392196682, 0.15236649683729747, 1.0765042935975624, 0.4830181397786285, 0.5022585044495302, 30.964557429395615, 0.4436323168256504, 43.158835959719326]"
64,"[2.7231333701570435, 0.0032430223706162347, 18.924664388727894, 0.1297935146552613, 1.3270565329831312, 0.8865802807592312, 0.6641044352066582, 42.57178144909276, 0.5716061579990699, 38.090106805987794]"
65,"[2.6254170962543624, 0.004052483671611828, 43.8686406106029, 0.6605665934772847, 1.0935339676237206, 0.7239658510052156, 0.5593572651284715, 38.33323169687991, 0.3540350582667781, 43.31191556458296]"
66,"[1.1775710068564749, 0.001621305278972807, 36.62420535491944, 0.6988067824081566, 1.2420898346949065, 0.835066622250308, 0.5392551210793365, 34.42940508263352, 0.6566517636361999, 34.095018851654814]"
67,"[2.942602878460181, 0.002158397665311276, 40.16418994219573, 0.5437324210894341, 0.6507323773127311, 0.6166147078883975, 0.5897079718758741, 59.218155121355935, 0.49234064286623613, 41.11842011754527]"
68,"[2.584332631438618, 0.0026319297461485374, 45.80736489198323, 0.37424688420367075, 0.7279342442391916, 0.3573163849512474, 0.6273940210920524, 45.2091275062345, 0.5544927716857272, 36.29605278168064]"
69,"[3.5119839166863756, 0.0007558068363185174, 30.22168556409106, 0.2781589865548899, 0.9163318344606028, 0.7436998215689883, 0.49070762329817297, 47.9086704862741, 0.6221945291485438, 28.19383016338818]"
