day,SM_OBS
2021/7/8,0.254561161
2021/7/18,0.19923626
2021/7/29,0.18763044
2021/8/4,0.217060728
2021/8/15,0.151301863
2021/8/27,0.262816448
2021/9/7,0.307607443
2021/9/29,0.417297416
